Timestamp,Actual_actoff,Raw_Predicted_actoff
2025-04-07 15:30:00,97.0,88.88822758197784
2025-04-07 16:00:00,80.0,83.58984553813934
2025-04-07 16:30:00,80.0,68.63591015338898
2025-04-07 17:00:00,47.0,55.1110243499279
2025-04-07 17:30:00,29.0,38.75908970832825
2025-04-07 18:00:00,20.0,27.113095946609974
2025-04-07 18:30:00,20.0,19.384680815041065
2025-04-07 19:00:00,0.0,13.777643233537674
2025-04-07 19:30:00,0.0,22.381039336323738
2025-04-08 09:00:00,62.0,71.02647976577282
2025-04-08 09:30:00,105.0,84.19585794210434
2025-04-08 10:00:00,113.0,93.71987226605415
2025-04-08 10:30:00,117.0,96.20596942305565
2025-04-08 11:00:00,91.0,94.30059653520584
2025-04-08 11:30:00,106.0,89.42859882116318
2025-04-08 12:00:00,84.0,86.45410519838333
2025-04-08 12:30:00,89.0,82.96540474891663
2025-04-08 13:00:00,86.0,80.55604827404022
2025-04-08 13:30:00,100.0,78.86546078324318
2025-04-08 14:00:00,100.0,79.49876171350479
2025-04-08 14:30:00,99.0,79.81399154663086
2025-04-08 15:00:00,96.0,81.12727510929108
2025-04-08 15:30:00,87.0,79.83098602294922
2025-04-08 16:00:00,79.0,76.6386090517044
2025-04-08 16:30:00,90.0,64.23955419659615
2025-04-08 17:00:00,47.0,51.77808889746666
2025-04-08 17:30:00,34.0,33.78663206845522
2025-04-08 18:00:00,25.0,24.206655465066433
2025-04-08 18:30:00,16.0,17.393410585820675
2025-04-08 19:00:00,1.0,12.809725932776928
2025-04-08 19:30:00,0.0,11.465710692107677
2025-04-09 09:00:00,63.0,68.25013554096222
2025-04-09 09:30:00,69.0,80.89630955457687
2025-04-09 10:00:00,100.0,84.4904111623764
2025-04-09 10:30:00,88.0,86.05249562859535
2025-04-09 11:00:00,110.0,85.08579316735268
2025-04-09 11:30:00,99.0,83.99596041440964
2025-04-09 12:00:00,78.0,82.81187027692795
2025-04-09 12:30:00,78.0,80.33003944158554
2025-04-09 13:00:00,75.0,78.54020243883133
2025-04-09 13:30:00,87.0,77.28434604406357
2025-04-09 14:00:00,91.0,77.41022908687592
2025-04-09 14:30:00,84.0,78.10685214400291
2025-04-09 15:00:00,79.0,79.040866792202
2025-04-09 15:30:00,93.0,77.55158418416977
2025-04-09 16:00:00,94.0,73.37112446129322
2025-04-09 16:30:00,64.0,61.104909762740135
2025-04-09 17:00:00,57.0,44.07312083244324
2025-04-09 17:30:00,39.0,30.098839558660984
2025-04-09 18:00:00,20.0,21.47040094435215
2025-04-09 18:30:00,11.0,15.845050044357777
2025-04-09 19:00:00,0.0,11.728619445115328
2025-04-09 19:30:00,0.0,11.665912482887506
2025-04-10 09:00:00,78.0,68.9287462234497
2025-04-10 09:30:00,87.0,82.79806226491928
2025-04-10 10:00:00,104.0,89.963942527771
2025-04-10 10:30:00,98.0,90.96916580200195
2025-04-10 11:00:00,94.0,88.48334303498268
2025-04-10 11:30:00,107.0,85.49427133798599
2025-04-10 12:00:00,102.0,83.97999268770218
2025-04-10 12:30:00,97.0,83.05628979206085
2025-04-10 13:00:00,94.0,82.82470464706421
2025-04-10 13:30:00,99.0,82.54292383790016
2025-04-10 14:00:00,121.0,83.28344929218292
2025-04-10 14:30:00,95.0,85.6516472697258
2025-04-10 15:00:00,87.0,86.31024518609047
2025-04-10 15:30:00,74.0,83.73695397377014
2025-04-10 16:00:00,95.0,77.84689861536026
2025-04-10 16:30:00,81.0,63.83451475203037
2025-04-10 17:00:00,52.0,48.86440806090832
2025-04-10 17:30:00,40.0,32.76215945184231
2025-04-10 18:00:00,25.0,23.228552542626858
2025-04-10 18:30:00,18.0,16.896567776799202
2025-04-10 19:00:00,0.0,12.1273147277534
2025-04-10 19:30:00,0.0,16.489851012825966
2025-04-11 09:00:00,81.0,72.17643047869205
2025-04-11 09:30:00,87.0,86.69239962100983
2025-04-11 10:00:00,96.0,91.82803300023079
2025-04-11 10:30:00,98.0,89.96876648068428
2025-04-11 11:00:00,80.0,86.62594413757324
2025-04-11 11:30:00,81.0,81.88672462105751
2025-04-11 12:00:00,78.0,77.91569083929062
2025-04-11 12:30:00,84.0,74.88976237177849
2025-04-11 13:00:00,99.0,73.07654468715191
2025-04-11 13:30:00,71.0,73.64346094429493
2025-04-11 14:00:00,84.0,73.30266858637333
2025-04-11 14:30:00,70.0,72.99798949062824
2025-04-11 15:00:00,72.0,71.64840678870678
2025-04-11 15:30:00,91.0,65.96247987449169
2025-04-11 16:00:00,68.0,60.83861871063709
2025-04-11 16:30:00,56.0,49.030444979667664
2025-04-11 17:00:00,28.0,34.02974823117256
2025-04-11 17:30:00,27.0,22.2277327850461
2025-04-11 18:00:00,26.0,14.894574210047722
2025-04-11 18:30:00,9.0,10.070840366184711
2025-04-11 19:00:00,0.0,7.101248145103455
2025-04-11 19:30:00,0.0,5.84747401624918
2025-04-12 11:00:00,0.0,5.699228189885616
2025-04-12 11:30:00,0.0,5.7874523140490055
2025-04-12 12:00:00,0.0,5.63668055087328
2025-04-12 12:30:00,0.0,5.494056399911642
2025-04-12 15:00:00,0.0,5.394220490008593
2025-04-12 16:30:00,0.0,5.561142537742853
2025-04-12 18:30:00,0.0,5.6680827140808105
2025-04-13 10:30:00,0.0,5.868324335664511
2025-04-13 13:30:00,0.0,7.054954793304205
2025-04-13 17:30:00,0.0,6.436871442943811
2025-04-13 19:30:00,0.0,7.104969006031752
2025-04-14 09:00:00,77.0,8.793579339981079
